frame_index,frame_name,track_id,kpt_5_x,kpt_5_y,kpt_6_x,kpt_6_y,kpt_7_x,kpt_7_y,kpt_8_x,kpt_8_y,kpt_9_x,kpt_9_y,kpt_10_x,kpt_10_y,kpt_11_x,kpt_11_y,kpt_12_x,kpt_12_y,kpt_13_x,kpt_13_y,kpt_14_x,kpt_14_y,kpt_15_x,kpt_15_y,kpt_16_x,kpt_16_y
0,0001.jpg,0,678.5076293945312,385.46807861328125,664.668701171875,390.6949462890625,686.4327392578125,425.055908203125,674.1663208007812,439.7702331542969,725.3248291015625,443.5334167480469,711.2957763671875,456.01629638671875,676.0780639648438,478.40789794921875,664.1805419921875,482.9477233886719,701.7348022460938,546.0800170898438,672.20947265625,555.4166259765625,698.7164916992188,612.4485473632812,650.020751953125,629.092041015625
1,0002.jpg,0,679.3279418945312,384.2316589355469,666.5677490234375,390.9913635253906,699.5887451171875,420.04168701171875,670.428466796875,438.7039794921875,739.3710327148438,433.92974853515625,702.884521484375,456.76513671875,679.512939453125,479.1290283203125,668.8663330078125,484.1418151855469,706.62890625,548.2363891601562,676.6420288085938,556.3214111328125,708.5654907226562,613.6666870117188,654.1348876953125,628.4675903320312
2,0003.jpg,0,681.61181640625,383.1470947265625,664.7554321289062,389.40032958984375,703.67724609375,415.2716979980469,662.6301879882812,437.5420227050781,742.201904296875,424.0164794921875,693.6754760742188,457.0709533691406,680.8455200195312,477.1698303222656,667.8327026367188,481.8586120605469,707.4620971679688,547.9304809570312,677.3872680664062,554.8731689453125,710.4031982421875,613.9324340820312,654.615966796875,627.5230712890625
3,0004.jpg,0,684.5260620117188,380.6293640136719,664.965576171875,388.5799255371094,712.6298828125,408.28680419921875,661.4271240234375,437.28692626953125,750.07470703125,413.5132141113281,691.7492065429688,456.1143493652344,684.4932861328125,476.49658203125,669.8615112304688,481.59906005859375,710.3126220703125,546.6279907226562,679.7697143554688,553.76318359375,711.2695922851562,613.8554077148438,653.2029418945312,627.0660400390625
4,0005.jpg,0,681.420166015625,377.6741638183594,663.2369384765625,387.1355895996094,708.2819213867188,400.64434814453125,658.211181640625,438.560302734375,745.2987670898438,395.2140808105469,687.6836547851562,456.8634033203125,685.0852661132812,477.04022216796875,671.023681640625,482.7087097167969,711.1563110351562,548.3968505859375,681.1522827148438,555.22119140625,712.0338134765625,613.0301513671875,652.5685424804688,626.4146728515625
5,0006.jpg,0,679.7835083007812,374.3981018066406,664.0361938476562,387.0716247558594,712.7702026367188,387.00347900390625,657.7115478515625,435.8650817871094,749.069091796875,375.60589599609375,684.251953125,451.1473083496094,684.94482421875,475.2620849609375,672.5831909179688,481.7396545410156,711.1900024414062,548.8511352539062,683.6383056640625,555.9140625,712.9076538085938,613.4654541015625,652.3960571289062,625.7581176757812
6,0007.jpg,0,680.84619140625,373.4945983886719,664.9343872070312,387.5823059082031,715.7647094726562,373.7677001953125,656.9483642578125,432.1916198730469,750.6995239257812,353.38214111328125,683.5299682617188,449.586669921875,686.2893676757812,474.4609069824219,673.72705078125,481.0171203613281,713.8976440429688,548.92724609375,685.8533325195312,555.0699462890625,715.5968017578125,614.3068237304688,652.4777221679688,626.3980102539062
7,0008.jpg,0,681.545654296875,373.2572021484375,664.745361328125,388.81121826171875,717.7496337890625,362.55865478515625,657.1996459960938,429.23016357421875,746.3817138671875,331.12860107421875,682.162353515625,440.7303466796875,687.32080078125,476.5124816894531,673.8506469726562,483.1179504394531,717.6734008789062,549.9093017578125,689.4080810546875,555.11279296875,715.9595336914062,615.1991577148438,651.8325805664062,625.420166015625
8,0009.jpg,0,684.6328735351562,372.7765808105469,666.2988891601562,390.1673583984375,715.6683959960938,352.19342041015625,658.1533813476562,428.48016357421875,733.4990234375,314.0303955078125,684.3662109375,440.96697998046875,692.829833984375,477.2299499511719,677.9982299804688,484.11810302734375,722.438720703125,550.5056762695312,694.00341796875,555.245849609375,715.1158447265625,616.1826782226562,652.6841430664062,625.699462890625
9,0010.jpg,0,684.3453979492188,372.841796875,661.41455078125,390.8115234375,709.0205078125,351.0594787597656,649.757568359375,426.2925720214844,725.421142578125,311.589599609375,686.42529296875,435.5501708984375,693.0982055664062,475.14288330078125,674.9412841796875,483.0045166015625,721.888916015625,546.820068359375,690.3206787109375,553.614990234375,710.0420532226562,610.3328857421875,646.7518310546875,619.8104248046875
10,0011.jpg,0,680.975341796875,373.39373779296875,661.3187255859375,393.506591796875,703.4716186523438,344.73370361328125,647.9273071289062,428.2016296386719,718.3942260742188,298.72314453125,683.0033569335938,433.4585266113281,691.2197875976562,474.41888427734375,674.9307861328125,483.36346435546875,725.8180541992188,542.851318359375,694.78076171875,551.251708984375,711.7803344726562,608.47509765625,648.6455688476562,619.7308349609375
