track_id,total_movement,num_frames,first_frame,last_frame,active
0,8502.086151123047,48,0001.jpg,0048.jpg,True
1,52.602027893066406,2,0002.jpg,0003.jpg,False
2,0.0,1,0025.jpg,0025.jpg,True
